email,buyer_name,company_name,website,country,source_platform,category,discovered_date,status,ai_confidence,ai_reasoning,mx_record,mail_provider,deliverability_status,deliverability_reason
contact@zen-meditation.jp,Studio Manager,Zen Meditation Japan,https://zen-meditation.jp,Japan,Google,business,2026-09-04T10:28:34.614Z,valid,0.98,"Company domain, business-specific contact, and clear organizational entity status.",mx01.lolipop.jp,mx01.lolipop.jp,verified,Verified Active MX: mx01.lolipop.jp (mx01.lolipop.jp) — Ready for delivery.
info@yoga-alliance.ca,Director,Yoga Alliance Canada,https://yogaalliance.ca,Canada,Directory,business,2026-09-04T10:28:34.504Z,invalid,0.99,Large scale institutional organization with a professional email address.,,,undeliverable,"DNS NXDOMAIN: Domain ""yoga-alliance.ca"" does not exist. Address not found."
info@yogahaven.co.uk,Manager,Yoga Haven,https://yogahaven.co.uk,UK,Google,business,2026-09-04T10:28:34.378Z,valid,0.98,Professional management email for a known yoga studio business.,yogahaven-co-uk.mail.protection.outlook.com,Microsoft 365,verified,Verified Active MX: yogahaven-co-uk.mail.protection.outlook.com (Microsoft 365) — Ready for delivery.
contact@soundmeditation.com.au,Acoustic Therapist,Sound Meditation Australia,https://www.soundmeditation.com.au,Australia,Google,business,2026-09-04T10:28:34.266Z,invalid,0.95,Entity operates as a formal sound meditation company.,,,undeliverable,Misconfigured proxy MX (_dc-mx): Domain soundmeditation.com.au uses an unconfigured proxy MX that denies mail relay (554 5.7.1 Relay access denied).
info@mindfulnessassociation.net,Training Coordinator,Mindfulness Association,https://www.mindfulnessassociation.net,UK,Google,business,2026-09-04T10:28:34.157Z,valid,0.98,"Identified as an association, which functions as an organization or business entity.",mx1-us1.ppe-hosted.com,mx1-us1.ppe-hosted.com,verified,Verified Active MX: mx1-us1.ppe-hosted.com (mx1-us1.ppe-hosted.com) — Ready for delivery.
wholesale@omsoul.com,Owner,Om Soul,https://omsoul.com,US,Directory,business,2026-09-04T10:28:34.032Z,valid,1,The wholesale email prefix explicitly indicates a B2B business intent.,aspmx.l.google.com,Google Workspace,verified,Verified Active MX: aspmx.l.google.com (Google Workspace) — Ready for delivery.
shop@kripalu.org,Store Manager,Kripalu Center for Yoga & Health,https://kripalu.org,US,Google,business,2026-09-04T10:28:33.924Z,valid,1,Represents the store department of a large established yoga center.,kripalu-org.mail.protection.outlook.com,Microsoft 365,verified,Verified Active MX: kripalu-org.mail.protection.outlook.com (Microsoft 365) — Ready for delivery.
info@yogaworks.com,Studio Operations,YogaWorks,https://www.yogaworks.com,US,Google,business,2026-09-04T10:28:33.811Z,invalid,1,YogaWorks is a well-known major corporate yoga studio chain.,,,undeliverable,Blocked by enterprise gateway: yogaworks.com has strict administrative policies blocking unsolicited external mail to generic aliases like info@.
hello@innerdimensiontv.com,Wellness Partnerships,Inner Dimension Yoga,https://www.innerdimensionyoga.com,US,Facebook,business,2026-09-04T10:28:33.700Z,valid,0.95,Operates as a media and wellness business entity.,aspmx.l.google.com,Google Workspace,verified,Verified Active MX: aspmx.l.google.com (Google Workspace) — Ready for delivery.
support@gaiam.com,Procurement Team,Gaiam,https://www.gaiam.com,US,LinkedIn,business,2026-09-04T10:28:33.587Z,invalid,1,Major retail corporation; procurement indicates business-level purchasing.,,,undeliverable,Auto-reject role mailbox (support@). Enterprise and business mail filters routinely reject or ignore cold inquiries to support@ (550 Recipient address rejected).
info@spiritvoyage.com,Retail Buyer,Spirit Voyage,https://www.spiritvoyage.com,US,Directory,business,2026-09-04T10:28:33.466Z,valid,0.98,"Features a commercial retail name, generic corporate email prefix, and job title 'Retail Buyer' indicating commercial operations.",aspmx.l.google.com,Google Workspace,verified,Verified Active MX: aspmx.l.google.com (Google Workspace) — Ready for delivery.
wholesale@shantimats.com,Purchasing Manager,Shanti Boutique,https://www.shantiboutique.com,EU,Google,business,2026-09-04T10:28:33.349Z,invalid,0.99,"Dedicated 'wholesale@' address, 'Purchasing Manager' role, and commercial boutique company entity.",,,undeliverable,"DNS NXDOMAIN: Domain ""shantimats.com"" does not exist. Address not found."
contact@thesoundhealingacademy.com,Academy Admissions,Sound Healing Academy,https://www.soundhealingacademy.org,UK,Website,business,2026-09-04T10:28:33.241Z,valid,0.97,Represents an educational training institution with an admissions department and organizational domain.,thesoundhealingacademy-com.mail.protection.outlook.com,Microsoft 365,verified,Verified Active MX: thesoundhealingacademy-com.mail.protection.outlook.com (Microsoft 365) — Ready for delivery.
hello@stillpointyoga.london,Yoga Studio Coordinator,Still Point Yoga London,https://stillpointyogalondon.com,UK,Google,business,2026-09-04T10:28:33.121Z,invalid,0.96,Yoga studio organization with studio coordinator contact role and branded custom domain.,,,undeliverable,"DNS NXDOMAIN: Domain ""stillpointyoga.london"" does not exist. Address not found."
info@sound-bath.com,Sound Bath Center Management,Sound Bath Center,https://sound-bath.com,US,Google,business,2026-09-04T10:28:32.999Z,valid,0.98,Commercial sound bath studio center with management title and generic contact inbox.,route3.mx.cloudflare.net,route3.mx.cloudflare.net,verified,Verified Active MX: route3.mx.cloudflare.net (route3.mx.cloudflare.net) — Ready for delivery.
